的	白勺
秕	禾比
佌	人止匕
鯪	魚土八夂
癘	疒萬
粄	米反
炘	火斤
悢	心良
湅	水柬
礽	示乃
皯	皮干
薠	艸火頁
芓	艸子
喁	口禺
稞	禾果
皞	白白大十
鯗	羊魚
悒	心口巴
忑	下心
縶	幸丮糸
瓘	王艸口口隹
聡	耳公心
鞚	革穴工
榎	木頁夂
槻	木夫見
鄲	口口甲一阝
黟	黑多
鎹	金辵䒑大
濇	水土从
労	⺍冂力
汭	水内
扆	戶衣
隩	阝宀米大
繐	糸專心
娩	女象儿
搠	扌屰月
枵	木口丂
螈	虫厂白小
睥	目卑
臬	自木
傺	人肉又示
邠	分阝
鮞	魚而
鰷	魚人丨夂木
鯇	魚宀一兀
沚	水止
澠	水黽
瑨	王晉
耬	耒婁
挻	扌廴丿止
靺	革末
葃	艸日乍
屺	山己
迮	辵乍
脡	月廴千土
朓	月兆
痩	疒申又
巣	⺍果
挲	水少手
祆	示天
芞	艸气
茌	艸人士
栝	木舌
螃	虫亠八冂方
昪	日厶廾
幘	巾丰貝
儇	人四一口衤
獷	犬广黃
嫄	女厂白小
殧	歹京𠂇
丼	井丶
墁	土日四又
捜	扌申又
鞨	革日勹亡
欐	木麗
磡	石甘匚八力
覧	臣𠂉丶見
歔	虎业欠
艶	曲豆𠂊巴
髎	骨羽人彡
黌	臼爻冂黃
躰	身本
鱧	魚曲豆
麈	鹿主
淏	水日天
禊	示丰刀大
烝	㇕水一火
纋	糸頁心夂
繰	糸三口木
趔	走歹刀
玡	王牙
掊	扌立口
蟋	虫釆心
迚	辵中
暐	日㐄口㐄
毳	三毛
儰	人艸爲
錬	金東
鱖	魚厂屰欠
訇	勹言
汚	水丂一
陴	阝卑
紑	糸不
犛	未攴厂牛
埴	土直
搐	扌亠幺田
藸	艸豕者
蒛	艸缶夬
蕅	艸水禺
軔	車刀丶
靦	面見
蛯	虫耂
喨	口京几
黻	业巾⺍犬㇕
鍚	金昜
凖	冫隹十
廨	广角刀牛
瘳	疒羽人彡
鶺	⺍人月鳥
滻	水立厂生
窓	穴厶心
屨	尸行婁
騭	阝步馬
婠	女宀㠯
孥	女又子
埤	土卑
琊	王牙阝
晢	扌斤日
呣	口母
昜	昜
籀	竹扌卯田
媵	朕女
癶	癶
覿	士四貝見
騒	馬又虫
揄	扌亼月刀
拶	扌巛夕
萏	艸𠂊臼
覇	西革月
厓	厂土土
躇	足艸者
簀	竹丰貝
偭	人面
儡	人三田
侘	人宀丿七
勍	京力
纀	糸人业大
圬	土一丂
垳	土行
搛	扌兼
楯	木盾
椈	木勹米
尨	𠂇彡
銚	金兆
痦	疒五口
懮	心頁心夂
氶	㇕水
塩	土𠂉口皿
蒨	艸人青
樨	木尸水牛
崕	山厂土土
巉	山象比象儿丶
犠	牛羊我
笅	竹爻
弇	亼口廾
貅	豸人木
舭	舟比
廆	广鬼
怍	心乍
愮	心爪缶
悛	心厶八夂
滀	水亠幺田
寘	宀真
夛	彐夕
彑	彑
亏	一丂
垎	土夂口
蒴	艸屰月
柃	木令
鉒	金主
魨	魚屯
鯡	魚非
邡	方阝
沋	水𠂇
氿	水九
絪	糸圍大
紝	糸壬
纘	糸先先貝
墠	土口口甲一
塲	土𠂉昜
駆	馬匚乂
撟	扌丿大口冂口
蔌	艸束欠
瞢	艸四冂目
雱	雨方
砕	石九十
啁	口用口
岠	山巨
簨	竹巳巳艸廾
俉	人五口
翛	人丨攴羽
傝	人日羽
垕	𠂆口土
艟	舟立田土
誋	言己心
冴	冫牙
怩	心尸匕
滉	水日光
沴	水人彡
浄	水𠂊尹
澉	水敢
衧	衤丁一
阼	阝乍
牂	爿羊
姞	女士口
垧	土宀口
逹	辵幸
栭	木而
砒	石比
狃	犬丑
澌	水其斤
綮	戶攴糸
趄	走且
絜	丰刀糸
掭	扌天心
戁	堇隹心
茺	艸了儿
螻	虫婁
崋	山華
覦	亼月刀見
庣	广兆
烺	火良
熻	火亼口羽
潸	水木木月
沕	水勿
褑	衤爪二丿又
繖	糸廿月攴
孋	女麗
妢	女分
檉	木耳口王
霪	雨水爪壬
尪	尢王
崟	山金
呑	丿大口
玀	犬四糸隹
瘥	疒羊工
怫	心弓八
褙	衤北月
隣	阝米舛
郪	一尹女阝
耋	耂至
珧	王兆
遘	辵甘冄
蕺	艸口耳戈
椀	木宀夕卩
剄	巠刀
慝	匚艸𠂇口心
嗛	口兼
牾	牛五口
侉	人大一丂
倓	人火火
脰	月豆
賸	朕貝
鰰	魚示申
憡	心竹朿
烔	火同
燠	火宀米大
濊	水止戌㐄
遅	辵尸羊
闀	門艸廾巳
婗	女臼儿
紕	糸比
殪	歹士冂豆
掤	扌朋
葸	艸田心
貰	世貝
蓊	艸公羽
柈	木半
楗	木廴尹二
划	戈刀
匜	匚也
躔	足广里八土
伾	人不一
瑆	王日生
皵	廿日皮
茇	艸犬㇕
蕆	艸戊貝
棬	木龹卩
簕	竹革力
傒	人爪幺大
獼	犬弓爾
卆	九十
袤	衣矛
悗	心象儿
洑	水人犬
瀷	水羽田艸廾
祌	示中
褘	衤㐄口㐄
韡	㐄口㐄華
縴	糸亠幺冂牛
瑝	王白王
葎	艸行尹二
椚	木門
礴	石艸水甫寸
賻	貝甫寸
鯠	魚來
鄜	鹿阝
忕	心大
屣	尸行止止
翬	羽冂車
圷	土下
酤	酉古
柷	木口儿
躅	足四勹虫
昺	日丙
罍	三田缶
傋	人甘冄
俙	人乂𠂇巾
脙	月求
肄	匕矢尹二
麿	麻呂
癔	疒立日心
蛍	⺍冂虫
湳	水十冂半
濈	水口耳戈
祅	示丿大
丮	丮
縁	糸彐豕
璿	王卜冂一八人目
睚	目厂土土
癿	白乚
鱒	魚八酉寸
瘙	疒又丶虫
忪	心公
阯	阝止
娠	女辰
覯	甘冄見
蕢	艸中一貝
棼	木木分
欑	木先先貝
蜴	虫日勿
躕	足广十豆寸
甁	并瓦
簰	竹爿卑
侳	人从土
儴	人衣口口甘
鄶	會阝
鏐	金羽人彡
鰾	魚西示
迯	辵夕卜
亰	京
裒	衣臼
庤	广土寸
癃	疒阝夂一生
浘	水尸毛
扂	戶卜口
祫	示亼口
閺	門日文
臠	䜌肉
挿	扌千日
棌	木爪木
歭	止土寸
蝙	虫戶冊
戥	日生戈
忮	心十又
惈	心果
襻	衤爻木木大手
褫	衤𠂆虎
禚	示羊火
掲	扌日勹匕
攛	扌穴臼釆
扱	扌及
鞎	革艮
唴	口羊儿
曚	日艸冃豕
昳	日失
岼	山干八
礐	臼爻冂石
伋	人及
鮀	魚它
誸	言弓亠幺
庁	广丁
慲	心廿内内
慥	心辵牛口
祧	示兆
褕	衤亼月刀
堥	矛攴土
夃	乃又
妧	女一兀
媺	女山一几攴
毿	三厶人彡毛
拫	扌艮
搦	扌弓冫弓冫
砢	石丁口
籐	竹朕水
穜	禾立田土
倻	人耳阝
癈	疒癶弓殳
漭	水艸犬廾
襤	衤監
憙	十豆口心
趫	走丿大口冂口
瑱	王真
耱	耒麻石
攮	扌一中冂口口甘衤
釃	酉麗
嶌	山鳥
偛	人千臼
犽	犬牙
羑	羊𠂊丶
怏	心冂大
灄	水三耳
洿	水大一丂
渉	水止少
潃	水行夂月
瀙	水立木見
戭	寅戈
袛	衤氏丶
綍	糸十冂子
嫜	女立日十
弆	去廾
捭	扌卑
栱	木艸廾
蜮	虫戈口一
蜢	虫子皿
舁	臼廾
仏	人厶
鞤	土土寸革
塝	土亠八冂方
搣	扌戌火
撹	扌⺍冂見
茪	艸光
棻	艸分木
酴	酉余
槧	車斤木
栴	木𠂉丹
翃	𠂇厶羽
歯	齒
嗕	口辰寸
嚌	口齊
秭	禾𠂔
畠	白田
夎	从土夂
猻	犬子丿糸
譃	言虎业
瘼	疒艸日大
涜	水士冂儿
褓	衤人口木
艸	艸
姏	女甘
垤	土至
哢	口王廾
簏	竹鹿
釢	金乃
熲	匕火頁
癀	疒黃
鏖	鹿金
潲	水禾小月
殠	歹自犬
堣	土禺
玕	王干
驫	三馬
荄	艸亥
薀	艸水圍人皿
酲	酉口王
囫	圍勿
蹓	足卯田
罽	四厂火火刀
嶢	山堯
崁	山土欠
崡	山了⺍凵
牤	牛亡
黧	禾丿刀黑
僸	人木木示
劊	會刀
钀	金虎鬲犬
銗	金𠂆口
腄	月垂
脇	月三力
脧	月厶八夂
孳	䒑幺幺子
涬	水幸
厳	⺍厂敢
涴	水宀夕卩
襁	衤弓口虫
闅	門目攴
菤	艸龹卩
莙	艸尹口
腠	月廾天
腧	月亼月刀
鮪	魚𠂇月
瘰	疒田糸
疧	疒氏
疰	疒主
摽	扌西示
蕘	艸堯
梺	木木下
檑	木雨田
輞	車网亡
霂	雨水木
黷	黑士四貝
眈	目冂儿
犤	牛四厶月比
儞	人爾
敍	余攴
衞	行㐄口一巾
飮	食卜欠
鐡	金十戈口䒑
脥	月大从
亹	亠臼同冂且
膂	㫃从月
廃	广癶二儿
癉	疒口口甲一
愭	心耂日
褗	衤匚日女
衪	衤也
妯	女由
縼	糸㫃疋
蓂	艸冂日宀
篥	竹西木
簃	竹禾多
儱	人龍
螽	夂冫虫虫
爝	火爪四艮寸
垰	土卜二卜
堨	土日勹亡
趠	走卜日十
拝	扌一丰
鞮	革是
酎	酉寸
暠	日京口
鼩	臼釆勹口
劓	鼻刀
燐	火米舛
涗	水公儿
漥	水穴土土
袴	衤大一丂
襆	衤业大
姺	女先
娭	女厶矢
趲	走先先貝
払	扌厶
楢	木八酉
貺	貝口儿
艤	舟羊我
膻	月亠回日一
胼	月并
疻	疒口八
煇	火冂車
羼	尸三羊
埏	土廴丿止
珷	王戈止
珽	王廴千土
驩	馬艸口口隹
騩	馬鬼
苖	艸由
蒢	艸阝余
栻	木弋工
齢	齒令
喌	口口⺍巛
嗿	口今貝
幪	巾艸冃豕
嶉	山口隹
矧	矢弓丨
犦	牛日艸廾水
簷	竹𠂊厂八言
鼴	臼釆匚日女
魊	鬼戈口一
齁	鼻勹口
偊	人禹
倞	人京
悆	余心
鍭	金人龴矢
艂	舟夂丰
脟	月爪寸
虓	九虎
鰹	魚臣又土
褊	衤戶冊
妀	己女
繧	糸雨云
縄	糸黽
綎	糸廴千土
塏	土山豆
垍	土自
琀	王今口
蒹	艸兼
磻	石釆田
匸	匚
躓	足斤斤貝
笘	竹卜口
貔	豸囟比
獮	犬爾
鮓	魚乍
痼	疒圍古
汧	水一廾
涷	水東
窅	穴目
垗	土兆
瑅	王是
藒	艸禾日勹亡
蓧	艸人丨夂木
薸	艸水西示
槙	木真
椄	木立女
礅	石京子攴
跂	足十又
蹣	足廿内内
畤	田土寸
晫	日卜日十
黹	业巾⺍
賎	貝戔
惣	牛勿心
皝	白王光
傞	人羊工
衎	行干
諵	言十冂半
竝	立立
洢	水人尹
郿	眉阝
姽	女𠂊厂卩
堷	土立日
珵	王口王
捃	扌尹口
芼	艸毛
槤	木辵車
柸	木不一
梏	木牛口
忐	上心
嘓	口圍戈口一
晧	日牛口
麇	鹿禾
潗	水隹木
陜	阝大从
弐	戈二
赬	赤卜貝
埆	土角
玞	王夫
駄	馬太
薢	艸角刀牛
厜	厂垂
厖	厂𠂇彡
劂	厂屰欠刀
匼	匚亼口
蚡	虫分
崶	山土土寸
勲	千田土力火
蜑	廴丿止虫
傴	人匚三口
儵	人丨攴黑
劒	亼口口从刀丶
郛	爪子阝
颻	爪缶風
鵺	亠人夕丶鳥
奨	爿爪寸大
湀	水癶天
灉	水巛口巴隹
矞	矛内口
娯	女吳
邽	土土阝
択	扌尺
苠	艸民
蝣	虫㫃子
嚗	口日艸廾水
偁	人爪魚
狨	犬戈𠂇
訏	言丁一
諴	言戌口
瀣	水歹又韭
綝	糸木木
堎	土土八夂
壱	士冂匕
聹	耳宀心皿丁
捔	扌角
菍	艸今心
杮	木巿
勅	束力
輊	車至
栃	木𠂆一力
磙	石衣公
齮	齒大丁口
罣	四土土
瞴	目無
飳	食主
譫	言𠂊厂八言
遹	辵矛内口
翯	羽京口
繍	糸尹𣶒
堧	土而大
捊	扌爪子
掮	扌戶月
恧	而心
蜾	虫果
咥	口至
辿	辵山
詀	言卜口
蘾	艸土衣四水
蘞	艸亼口口从攴
樫	木臣又土
睃	目厶八夂
頲	廴千土頁
怓	心女又
禔	示是
禘	示帝
弸	弓朋
繘	糸矛内口
莰	艸土欠
棈	木青
棤	木廿日
楩	木人一日乂
枹	木勹巳
郫	卑阝
偟	人白王
脽	月隹
獊	犬倉
膷	月阝良阝
粺	米卑
掎	扌大丁口
靷	革弓丨
菉	艸彑
橀	木了巛皿
碥	石戶冊
躑	足八酉大阝
跕	足卜口
褁	果衤
顕	日业頁
鷡	無鳥
甃	禾火瓦
篨	竹阝余
倷	人大示
偍	人是
鶲	公羽鳥
瓞	瓜失
獴	犬艸冃豕
鮇	魚未
炰	勹巳火
糬	米四者
焮	火斤欠
泙	水干八
挙	⺍廾手
洚	水夂㐄
祔	示人寸
闓	門山豆
玗	王丁一
挵	扌王廾
棓	木立口
篚	竹匚非
銕	金大弓
瘵	疒肉又示
惛	心氏日
棨	戶攴木
駸	馬彐冂又
揵	扌廴尹二
萭	艸禹
藠	艸三白
蔿	艸爲
藦	艸麻手
榯	木日土寸
斝	口口冂斗
暍	日日勹亡
賥	貝卒
舲	舟令
狚	犬日一
鰕	魚叚
怱	囪心
讃	言夫夫貝
癧	疒厂禾禾止
瘐	疒臼人
渃	水艸𠂇口
浡	水十冂子
涢	水口貝
渕	水䒑大刀
衶	衤中
擐	扌四一口衤
挼	扌爪女
莕	艸木口
葥	艸䒑月刀
栯	木𠂇月
桕	木臼
蚷	虫巨
咡	口耳
篌	竹人龴矢
俥	人車
脭	月口王
狁	犬厶儿
鯔	魚巛田
訞	言丿大
埫	土尚
摛	扌亠乂凵禸
苨	艸尸匕
厰	厂尚攴
尰	尢千田土
躞	足言火火又
囃	口衣木隹
婓	非女
偢	人禾火
鉶	金一廾刀
钁	金目目隹又
舺	舟甲
狌	犬生
頩	并頁
憱	心京𠂇
隉	阝臼工
翋	羽立
姁	女勹口
嫋	女弓冫弓冫
喤	口白王
眳	目夕口
釭	金工
鋂	金每
洀	水舟
湇	水立月
祏	示石
墘	土十日十乞
逜	辵五口
捽	扌卒
揎	扌宀二日
轌	車雨彐
轢	車白幺幺木
吷	口夬
倂	人并
飜	釆田乙冫非
釈	釆尺
臑	月雨而
猹	犬木日一
竷	立日十夂㐄夂
瘽	疒堇
淯	水了月
宍	宀宀
裃	衤卜二卜
袘	衤𠂉也
嬶	女鼻
嬾	女束𠂊貝
絘	糸冫欠
蓇	艸骨
茖	艸夂口
朢	臣月王
啕	口勹缶
賍	貝广土
稃	禾爪子
籣	竹門柬
脤	月辰
鮚	魚士口
鮐	魚厶口
鳽	一廾鳥
堽	土四正
縠	士冂一糸殳
苳	艸夂冫
樿	木口口甲一
匰	匚口口甲一
蜊	虫禾刀
帴	巾戔
嵎	山禺
伀	人公
盦	今酉皿
凮	凡白
颸	風田心
厹	九厶
惝	心尚
溽	水辰寸
涊	水刀丶心
婥	女卜日十
珦	王宀口
輜	車巛田
碹	石宀二日
鯝	魚圍古
綀	糸束
縡	糸宀辛
栞	干干木
殢	歹帶
拠	扌夂几
搌	扌尸廿衤
遰	辵帶
爇	艸土八土丮火
韁	革三田田
轔	車米舛
橪	木肉犬火
煕	臣巳火
蝳	虫丰母
蜉	虫爪子
嗩	口小貝
噍	口隹火
啍	口京子
髃	骨禺
盉	禾皿
猁	犬禾刀
匂	勹匕
痃	疒亠幺
懆	心三口木
惓	心龹卩
渱	水虫工
浛	水今口
祊	示方
祤	示羽
閟	門必
娖	女口止
繦	糸弓口虫
坫	土卜口
珛	王𠂇月
珹	王成
揲	扌世木
攠	扌麻非
扠	扌又丶
茩	艸𠂆口
茀	艸弓八
巘	山虎鬲犬
鋩	金艸亡
錧	金宀㠯
遯	辵月豕
脬	月爪子
鮂	魚圍人
廒	广敖
怭	心必
皕	百百
垝	土𠂊厂卩
垵	土宀女
搢	扌晉
攄	扌虎田心
拡	扌广厶
鞐	革卜二卜
蟿	車凵殳虫
暦	厂木木日
晄	日光
眛	目未
罥	四口月
罠	四民
嶵	山四非
啎	午五口
筰	竹人乍
簩	竹火火冂力
僛	人其欠
俍	人良
龢	龠禾
彴	行勺
舢	舟山
臓	月艸戊臣
毞	比毛
豋	肉又豆
庨	广耂子
緳	广丰刀糸
羕	羊永
愯	心隹又
欻	火火欠
懠	心齊
悰	心宀示
溂	水束刀
滵	水宀必山
禋	示西土
祾	示土八夂
冘	冂儿
冞	冂米
臦	臣臣
墬	阝彑豕土
縸	糸艸日大
鬏	長彡禾火
椇	木目廾
蠑	虫火火冂木
賕	貝求
臢	月先先貝
悈	心戈廾
忭	心亠卜
瓅	王白幺幺木
藾	艸束𠂊貝
苶	艸人小
杻	木丑
噭	口白方攴
唼	口立女
峠	山卜二卜
笵	竹水卩
偰	人丰刀大
谻	谷丮
餠	食并
巟	亡巛
凘	冫其斤
麤	三鹿
纇	米糸頁
悧	心禾刀
溘	水去皿
寑	宀人彐冂又
彠	彐工口寸艸隹又
陥	阝𠂊丨日
弶	弓京
荍	艸丩攴
桫	木水少
昻	日工卩
鎛	金甫寸
鈏	金弓丨
鵟	犬王鳥
廑	广堇
垞	土宀丿七
騑	馬非
騲	馬艸日十
莁	艸工从
醑	酉疋月
彯	西示彡
霙	雨艸冂大
雰	雨分
跢	足多
甽	田巛
黢	黑厶八夂
斁	四幸攴
盻	目八丂
睒	目火火
秪	禾氏丶
僈	人日四又
虒	𠂆虎
膮	月堯
胲	月亥
觔	角力
忞	文心
謧	言亠乂凵禸
冱	冫互
怞	心由
悇	心余
漻	水羽人彡
縕	糸圍人皿
妘	女云
婻	女十冂半
紵	糸宀丁
矻	石乞
呫	口卜口
蹁	足戶冊
曀	日士冂豆
籦	竹金千田土
傌	人馬
鉏	金且
脞	月从土
鯷	魚是
鰉	魚白王
庳	广卑
恉	心旨
冖	冂
檗	尸口辛木
瞀	矛攴目
絿	糸求
隷	士示尹⺍
鵐	工从鳥
垙	土光
墦	土釆田
瑧	王廾禾
鞡	革扌立
莅	艸人立
軺	車刀口
郕	成阝
齕	齒乞
蟳	虫彐工口寸
嶮	山亼口口从
徧	行戶冊
瘊	疒人龴矢
慓	心西示
溍	水晉
沄	水云
灡	水艸門柬
渇	水日勹匕
濧	水业土寸
泆	水失
溞	水又丶虫
屛	尸并
姌	女冄
縗	糸衣冄
綅	糸彐冂又
楳	木甘木
朿	朿
旼	日文
瞍	目申又
鍉	金是
銛	金舌
鮠	魚𠂊厂卩
詷	言同
潟	水臼烏
泇	水力口
孅	女从戈韭
瑊	王戌口
駰	馬圍大
抃	扌亠卜
葖	艸穴犬
楅	木畐
酺	酉甫
棶	木來
輠	車果
椑	木卑
枠	木九十
楤	木囪心
黶	厂日月犬黑
虷	虫干
吪	口化
屴	山力
簠	竹甫皿
皜	白京口
儗	人匕矢龴疋
臒	月艸隹又
猢	犬古月
膬	月三毛
瘯	疒㫃矢
恅	心耂
粋	米九十
裀	衤圍大
襜	衤𠂊厂八言
閦	門三人
剟	叕刀
恝	丰刀心
蒻	艸弓冫弓冫
唪	口廾扌
踺	足廴尹二
欥	日欠
嵁	山甘匚八
眙	目厶口
氕	气丿
譾	言䒑月刀羽
迉	辵尸
絧	糸同
賛	夫夫貝
頬	大䒑頁
耵	耳丁
瑒	王昜
藨	艸鹿火
圀	圍八方
踣	足立口
嘚	口行日一寸
黰	黑真
崱	山貝刀
鼽	鼻九
粍	米毛
瑬	水了巛玉
瀍	水广里八土
戽	戶斗
閖	門水
弝	弓巴
揃	扌䒑月刀
櫌	木頁心夂
鱺	魚麗
觖	角夬
豇	豆工
趧	走是
慹	幸丮心
珸	王五口
毦	耳毛
擗	扌尸口辛
蔕	艸帶
蔱	艸乂木殳
棫	木戈口一
轤	車虎田皿
柎	木人寸
硏	石干干
礌	石雨田
磉	石三又木
敺	匚三口攴
蹀	足世木
躪	足艸門隹
晥	日宀一兀
罶	四卯田
犝	牛立田土
秖	禾氏
倴	人奔
牮	人弋牛
僗	人火火冂力
頠	𠂊厂卩頁
焔	火𠂊丨日
熀	火日光
袽	衤女口
鄩	彐工口寸阝
弳	弓巠
嫪	女羽人彡
枒	木牙
燹	豕豕火
瘑	疒咼
焌	火厶八夂
泂	水冂口
潚	水尹𣶒
奡	頁大八
殈	歹血
琭	王彑
攉	扌雨隹
萉	艸月巴
楱	木廾天
檟	木西貝
輶	車八酉
啢	口一内内
慁	圍豕心
圐	圍四方
踽	足禹
跘	足半
喦	三口山
暅	日心二日
幓	巾三厶人彡
瞹	目爪冂心夂
皊	白令
鐚	金亞心
鑴	金山隹内口
舡	舟工
鱲	魚巛囟釆
鄘	广尹用阝
洘	水耂丂
洈	水𠂊厂卩
襌	衤口口甲一
躄	尸口辛足
媦	女田月
婸	女昜
坏	土不
坶	土母
撙	扌八酉寸
艼	艸丁
蒠	艸自心
蒺	艸疒矢
栁	木夕卩
碏	石廿日
虸	虫子
躦	足先先貝
棐	非木
幬	巾士㇕工一口寸
够	勹口多
恓	心西
汒	水亡
袗	衤人彡
圣	又土
殙	歹氏日
敔	五口攴
摰	土八土丮手
趯	走羽隹
擭	扌艸隹又
撚	扌肉犬火
鄀	艸𠂇口阝
蘘	艸衣口口甘
蒟	艸立勹口
蒄	艸冃兀寸
覅	西女勿
猋	三犬
敊	上小攴
敹	歹米攴
跐	足止匕
羉	四䜌
崥	山卑
歃	千臼欠
鍈	金艸冂大
凧	凡巾
颭	風卜口
膰	月釆田
鰺	魚三厶人彡
烠	火𠂇月
燋	火隹火
鵷	宀夕卩鳥
娷	女垂
繺	幺𠂊彐攴火
繶	糸立日心
墚	土水刀八木
琁	王𠂉疋
晛	日見
帡	巾并
筲	竹小月
餤	食火火
訬	言少
瘖	疒立日
陊	阝多
頇	干頁
鬺	鬲𠂉昜
璈	王敖
璆	王羽人彡
莿	艸朿刀
蒤	艸水余
醐	酉古月
蜍	虫余
啀	口厂土土
餥	非食
暎	日艸冂大
畯	田厶八夂
幏	巾宀豕
皦	白白方攴
僇	人羽人彡
瓟	瓜勹巳
褩	舟殳衣
鯸	魚人龴矢
爣	火尚黑
潩	水田艸廾
襴	衤門柬
褌	衤冂車
塈	艮旡土
纆	糸黑土
縦	糸行䒑止
垪	土并
蓱	艸水并
遝	辵四水
眴	目勹日
筭	竹王廾
稂	禾良
鮦	魚同
謚	言水皿
殍	歹爪子
墈	土甘匚八力
堌	土圍古
垀	土爪丁
玊	王丶
顢	廿内内頁
韂	革𠂊厂八言
芿	艸人乃
喒	口夂卜日
噰	口亠阝隹
噂	口八酉寸
曵	申丿丶
晙	日厶八夂
巂	山隹内口
箢	竹宀夕卩
鼢	臼釆分
俛	人象儿
餖	食豆
鋀	金豆
鋐	金宀𠂇厶
憓	心專心
憺	心𠂊厂八言
綷	糸卒
紞	糸冂儿
擿	扌辵帝口
韮	艸韭
蕣	艸爪冂舛
朸	木力
蹯	足釆田
仭	人刀丶
鏾	金廿月攴
臗	月宀艸見丶
痏	疒𠂇月
誾	門言
蝥	矛攴虫
貮	戈貝
摋	扌乂木殳
葍	艸畐
遖	辵十冂半
靬	革干
蕡	艸屮貝
蒡	艸亠八冂方
蕷	艸予頁
輇	車人王
剗	戔刀
掔	臣又手
蚿	虫亠幺
咮	口朱
鶡	日勹亡鳥
秏	禾毛
毪	毛厶牛
傉	人辰寸
儽	人三田糸
皐	白⺍十
僋	人今貝
鉐	金石
鉱	金广厶
猄	犬京
鱓	魚口口甲一
鰯	魚弓冫弓冫
鷟	㫃矢鳥
癙	疒臼釆
怳	心口儿
燂	火西日十
洓	水朿
淛	水牛巾刀
渓	水爪夫
褖	衤彑豕
冦	冃兀攴
巹	㇕水一己
阨	阝厂卩
纚	糸麗
碃	石青
磲	石水巨木
蹖	足廾臼
唶	口廿日
呾	口日一
踟	足矢口
岍	山一廾
劁	隹火刀
銤	金米
猰	犬丰刀大
訌	言工
濩	水艸隹又
塨	土艸廾心
靸	革及
菳	艸金
薿	艸匕矢龴疋
槄	木爪臼
鄠	雨一丂阝
蟥	虫黃
晻	日大申
睆	目宀一兀
穊	禾艮旡
鞗	人丨攴革
侅	人亥
貑	豸叚
艅	舟余
憝	京子攴心
譹	言京豕
羮	羊火二大
鄫	曾阝
懽	心艸口口隹
糨	米弓口虫
燏	火矛内口
袨	衤亠幺
毣	羽毛
嫽	女一火日小
抮	扌人彡
嚆	口艸京口
眊	目毛
眕	目人彡
眵	目多
瞷	目門日
箖	竹木木
釿	金斤
鱝	魚屮貝
皸	冂車皮
嫻	女門木
瓨	工瓦
騍	馬果
揠	扌匚日女
鶾	十日十𠂉鳥
菧	艸广氏丶
轕	車艸日勹亡
樛	木羽人彡
犮	犬㇕
甗	虎鬲瓦
蟜	虫丿大口冂口
蟓	虫象
嗢	口日皿
昣	日人彡
嫳	巾⺍攴女
嶪	山业木
箶	竹古月
箙	竹月卩又
仱	人今
狳	犬余
猟	犬⺍几扌
狖	犬穴
嚲	京子口口甲一
諝	言疋月
廙	广田艸廾
潽	水並日
寖	宀水彐冂又
縩	糸肉又示
墺	土宀米大
扐	扌力
栘	木多
圁	圍言
曨	日龍
鼷	臼釆爪幺大
眢	夕卩目
諆	言其
絰	糸至
剅	豆刀
藟	艸三田
薡	艸鼎
輐	車宀一兀
迍	辵屯
岞	山乍
熈	丿臣巳火
牓	爿亠八冂方
郈	𠂆口阝
錼	金大示
脁	月兆
敻	𠂊内目攴
欬	亥欠
潅	水𠂉一隹
洨	水文八
寃	宀象儿丶
頞	宀女頁
窊	穴瓜
臩	臣臣大八
焄	尹口火
茻	四屮
摂	扌耳⺍
枻	木世
晅	日二日
侁	人先
銍	金至
猞	犬舍
讌	言燕
汋	水勺
艴	弓八𠂊巴
妬	女石
嚢	一中冂八甘衤
遶	辵堯
斲	卯亞斤
髫	長彡刀口
蓰	艸行止止
桲	木十冂子
椆	木用口
羍	大羊
厗	厂辛
勔	面力
蝻	虫十冂半
喍	口止匕木
嶲	山隹弓
敳	山豆攴
嶰	山角刀牛
瞵	目米舛
矊	目糸白巾
牥	牛方
嶨	臼爻冂山
擧	臼牙廾手
僽	人禾火心
侂	人广丿七
魵	魚分
邅	辵亠回日一
醤	爿爪寸酉
慠	心敖
煓	火山而
熥	火辵甬
沷	水犬㇕
沘	水比
瀯	水火火冂呂
疎	疋束
妠	女内
妭	女犬㇕
緵	糸乂凵八夂
霅	雨言
昫	日勹口
嶔	山金欠
僩	人門月
鍠	金白王
猦	犬風
縢	朕糸
膣	月穴至
諲	言西土
淜	水朋
墝	土堯
覩	者見
璪	王三口木
莵	艸丿口儿丶
蔤	艸宀必山
榼	木去皿
醾	酉麻米
椌	木穴工
牻	牛𠂇彡
酇	先先貝阝
穭	禾魚日
侹	人廴千土
倧	人宀示
粔	米巨
炟	火日一
焠	火卒
沇	水厶儿
窋	穴出
孲	子亞
暋	民攴日
姱	女大一丂
綼	糸卑
荸	艸十冂子
萯	艸𠂊貝
桯	木口王
筬	竹成
泝	水斥
塅	土厂三殳
埶	土八土丮
盩	幸攴皿
玶	王干八
駔	馬且
驌	馬尹𣶒
掫	扌耳又
硜	石巠
螵	虫西示
蠋	虫四勹虫
圌	圍山而
塁	田⺍土
罫	四土土卜
罝	四且
骹	骨文八
簳	竹十日十人干
筦	竹宀一兀
倢	人一彐止
偨	人止匕木
儹	人先先貝
俤	人八弓丨丿
腷	月畐
狛	犬白
肸	月八十
顚	真頁
廌	鹿烏
瘝	疒四水
澣	水十日十人干
漎	水行从止
賨	宀示貝
岊	巴山
媥	女戶冊
趑	走冫欠
鞬	革廴尹二
蝀	虫東
嚥	口燕
嚫	口立木見
贐	貝尹一火皿
傃	人丰糸
偞	人世木
